timestamp [UTC];name;customDimensions
9/21/2022, 4:25:56.163 AM;player_update;"{""entityName"":""player"",""id"":""01a5d8a3-f76b-4566-a635-e7831d1cec14"",""type"":""update"",""value"":""{\""food_speed\"":4400,\""food_store\"":47000,\""wood_speed\"":4500,\""wood_store\"":47000,\""stone_store\"":47000,\""gold_speed\"":4600}""}"
9/21/2022, 4:25:56.898 AM;player_update;"{""entityName"":""player"",""id"":""01a5d8a3-f76b-4566-a635-e7831d1cec14"",""type"":""update"",""value"":""{\""food_speed\"":4400,\""food_store\"":47000,\""wood_speed\"":4500,\""wood_store\"":47000,\""stone_store\"":47000,\""gold_speed\"":4600}""}"
9/21/2022, 4:26:21.950 AM;player_update;"{""entityName"":""player"",""id"":""01a5d8a3-f76b-4566-a635-e7831d1cec14"",""type"":""update"",""value"":""{\""food_speed\"":4400,\""food_store\"":47000,\""wood_speed\"":4500,\""wood_store\"":47000,\""stone_store\"":47000,\""gold_speed\"":4600}""}"
9/21/2022, 4:26:51.155 AM;player_update;"{""entityName"":""player"",""id"":""01a5d8a3-f76b-4566-a635-e7831d1cec14"",""type"":""update"",""value"":""{\""food_speed\"":4400,\""food_store\"":47000,\""wood_speed\"":4500,\""wood_store\"":47000,\""stone_store\"":47000,\""gold_speed\"":4600}""}"
9/21/2022, 4:26:52.099 AM;player_update;"{""entityName"":""player"",""id"":""01a5d8a3-f76b-4566-a635-e7831d1cec14"",""type"":""update"",""value"":""{\""food_speed\"":4400,\""food_store\"":47000,\""wood_speed\"":4500,\""wood_store\"":47000,\""stone_store\"":47000,\""gold_speed\"":4600}""}"
9/21/2022, 4:27:17.017 AM;player_update;"{""entityName"":""player"",""id"":""01a5d8a3-f76b-4566-a635-e7831d1cec14"",""type"":""update"",""value"":""{\""food_speed\"":4400,\""food_store\"":47000,\""wood_speed\"":4500,\""wood_store\"":47000,\""stone_store\"":47000,\""gold_speed\"":4600}""}"
9/21/2022, 6:27:48.347 AM;player_update;"{""entityName"":""player"",""id"":""858a50f7-bb0f-4e05-a77f-5f5980c3e23a"",""type"":""update"",""value"":""{\""food_speed\"":2000,\""food_store\"":30000,\""wood_store\"":30000}""}"
9/21/2022, 6:27:50.561 AM;player_update;"{""entityName"":""player"",""id"":""858a50f7-bb0f-4e05-a77f-5f5980c3e23a"",""type"":""update"",""value"":""{\""food_speed\"":2000,\""food_store\"":30000,\""wood_store\"":30000}""}"
9/21/2022, 6:28:22.397 AM;player_update;"{""entityName"":""player"",""id"":""858a50f7-bb0f-4e05-a77f-5f5980c3e23a"",""type"":""update"",""value"":""{\""food_speed\"":2000,\""food_store\"":30000,\""wood_store\"":30000}""}"
9/21/2022, 6:28:28.935 AM;player_update;"{""entityName"":""player"",""id"":""858a50f7-bb0f-4e05-a77f-5f5980c3e23a"",""type"":""update"",""value"":""{\""food_speed\"":2000,\""food_store\"":30000,\""wood_store\"":30000}""}"
