price
5.0
30.0
132.0
27.0
6.0
11.0
69.0
14.0
26.0
13.0
23.0
604.0
10.0
23.0
5.0
41.0
23.0
9.0
6.0
7.0
9.0
21.0
89.0
532.0
14.0
61.0
21.0
6.0
9.0
8.0
7.0
7.0
66.0
12.0
5.0
17.0
6.0
180.0
120.0
5.0
17.0
6.0
10.0
12.0
6.0
6.0
127.0
5.0
17.0
18.0
159.0
46.0
10.0
10.0
10.0
8.0
9.0
83.0
17.0
18.0
5.0
128.0
47.0
38.0
9.0
5.0
8.0
10.0
9.0
18.0
5.0
40.0
19.0
10.0
22.0
82.0
15.0
26.0
5.0
5.0
7.0
26.0
11.0
31.0
11.0
10.0
60.0
7.0
12.0
36.0
8.0
7.0
14.0
6.0
40.0
6.0
81.0
12.0
80.0
5.0
21.0
45.0
19.0
25.0
17.0
11.0
25.0
147.0
82.0
11.0
68.0
5.0
14.0
15.0
5.0
27.0
10.0
8.0
49.0
7.0
72.0
5.0
7.0
5.0
7.0
42.0
86.0
5.0
11.0
191.0
8.0
15.0
13.0
14.0
28.0
14.0
66.0
12.0
6.0
6.0
19.0
226.0
6.0
9.0
21.0
19.0
17.0
64.0
37.0
14.0
8.0
5.0
5.0
23.0
9.0
7.0
51.0
6.0
6.0
56.0
8.0
6.0
35.0
5.0
161.0
38.0
17.0
180.0
19.0
80.0
11.0
16.0
52.0
7.0
13.0
8.0
13.0
58.0
11.0
135.0
5.0
14.0
133.0
14.0
7.0
66.0
63.0
12.0
5.0
11.0
12.0
9.0
7.0
5.0
68.0
7.0
24.0
62.0
11.0
46.0
6.0
19.0
517.0
6.0
8.0
200.0
9.0
7.0
35.0
32.0
10.0
153.0
34.0
48.0
10.0
7.0
271.0
12.0
6.0
8.0
12.0
6.0
11.0
8.0
310.0
58.0
36.0
9.0
106.0
6.0
19.0
6.0
156.0
27.0
9.0
215.0
31.0
23.0
18.0
42.0
37.0
17.0
63.0
7.0
162.0
5.0
53.0
7.0
30.0
21.0
5.0
16.0
8.0
93.0
11.0
20.0
7.0
14.0
5.0
12.0
8.0
23.0
7.0
64.0
29.0
5.0
77.0
56.0
6.0
66.0
6.0
15.0
9.0
64.0
9.0
5.0
132.0
20.0
23.0
8.0
43.0
7.0
351.0
6.0
11.0
6.0
21.0
6.0
99.0
9.0
19.0
18.0
89.0
24.0
62.0
132.0
18.0
5.0
95.0
6.0
5.0
11.0
18.0
17.0
28.0
32.0
12.0
7.0
89.0
19.0
33.0
6.0
6.0
14.0
13.0
159.0
14.0
176.0
11.0
185.0
119.0
180.0
16.0
6.0
11.0
125.0
9.0
7.0
7.0
120.0
5.0
11.0
42.0
44.0
44.0
13.0
22.0
425.0
9.0
5.0
7.0
19.0
7.0
5.0
50.0
50.0
5.0
109.0
130.0
12.0
71.0
108.0
602.0
18.0
12.0
32.0
185.0
96.0
16.0
6.0
16.0
10.0
7.0
77.0
53.0
5.0
35.0
114.0
23.0
23.0
8.0
172.0
12.0
6.0
8.0
85.0
65.0
13.0
14.0
35.0
38.0
12.0
7.0
62.0
26.0
8.0
33.0
6.0
20.0
10.0
23.0
31.0
10.0
34.0
262.0
6.0
9.0
9.0
28.0
20.0
23.0
8.0
7.0
7.0
30.0
6.0
5.0
197.0
14.0
7.0
11.0
6.0
79.0
335.0
7.0
169.0
21.0
13.0
13.0
8.0
11.0
16.0
5.0
74.0
8.0
8.0
14.0
12.0
5.0
37.0
89.0
10.0
8.0
12.0
46.0
17.0
9.0
18.0
47.0
54.0
352.0
6.0
194.0
15.0
12.0
296.0
6.0
6.0
9.0
43.0
6.0
26.0
11.0
17.0
13.0
26.0
17.0
64.0
12.0
221.0
12.0
18.0
20.0
24.0
8.0
18.0
82.0
98.0
5.0
5.0
9.0
5.0
7.0
40.0
16.0
6.0
7.0
20.0
13.0
31.0
7.0
10.0
5.0
8.0
9.0
5.0
8.0
8.0
5.0
10.0
29.0
63.0
20.0
6.0
5.0
12.0
10.0
6.0
13.0
5.0
9.0
41.0
18.0
6.0
6.0
27.0
7.0
5.0
275.0
18.0
5.0
21.0
135.0
8.0
10.0
6.0
26.0
18.0
15.0
7.0
11.0
41.0
19.0
106.0
10.0
5.0
6.0
76.0
241.0
7.0
10.0
98.0
5.0
25.0
9.0
16.0
7.0
13.0
7.0
80.0
12.0
9.0
7.0
27.0
9.0
19.0
150.0
6.0
6.0
6.0
8.0
8.0
34.0
48.0
12.0
199.0
5.0
8.0
97.0
153.0
11.0
17.0
10.0
17.0
5.0
17.0
76.0
5.0
9.0
16.0
12.0
7.0
22.0
9.0
31.0
64.0
15.0
33.0
5.0
10.0
14.0
5.0
